13:05:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (272 ms)
13:05:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:05:43 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (6 ms)
13:05:43 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/74 "HTTP/1.1 403 Forbidden"
13:05:43 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/74 -> 403 (3 ms)
13:05:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/74 "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/74 -> 200 (4 ms)
13:05:43 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/74 "HTTP/1.1 204 No Content"
13:05:43 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/74 -> 204 (5 ms)
