07:17:27 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:27 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (10 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB -> 200 (14 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?plan=enterprise "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?plan=enterprise -> 200 (10 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise -> 200 (10 ms)
07:17:27 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/76 "HTTP/1.1 204 No Content"
07:17:27 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/76 -> 204 (7 ms)
