10:38:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/surveys "HTTP/1.1 201 Created"
10:38:35 INFO  tests.http | POST http://127.0.0.1:8000/api/surveys -> 201 (9 ms)
10:38:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/surveys/3 "HTTP/1.1 200 OK"
10:38:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/surveys/3 -> 200 (11 ms)
10:38:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:38:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (9 ms)
10:38:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/surveys/3/responses "HTTP/1.1 201 Created"
10:38:35 INFO  tests.http | POST http://127.0.0.1:8000/api/surveys/3/responses -> 201 (15 ms)
10:38:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/surveys/3/summary "HTTP/1.1 200 OK"
10:38:35 INFO  tests.http | GET http://127.0.0.1:8000/api/surveys/3/summary -> 200 (7 ms)
