11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?size=1 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?size=1 -> 200 (12 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/3/deliveries "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/3/deliveries -> 200 (7 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/segments/1 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/segments/1 -> 200 (6 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/3 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/3 -> 200 (5 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/3 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/3 -> 200 (11 ms)
