11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (7 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB -> 200 (8 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?plan=enterprise "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?plan=enterprise -> 200 (9 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise -> 200 (7 ms)
11:37:48 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/69 "HTTP/1.1 204 No Content"
11:37:48 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/69 -> 204 (8 ms)
