19:52:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:52:29 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (11 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB -> 200 (12 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?plan=enterprise "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?plan=enterprise -> 200 (14 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise -> 200 (8 ms)
19:52:29 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/69 "HTTP/1.1 204 No Content"
19:52:29 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/69 -> 204 (9 ms)
